,nome,cpf,idade,data,endereco,estado,pais
0,Antônio Costela,278.046.359-74,42,04/11/1982,"Setor Maria Fernanda Santos, 1
Vila Nova
55793934 Leão de Goiás / RR",São Paulo,Brasil
1,Diego Rezende,140.762.853-44,49,13/05/1976,"Vale Raquel Castro, 297
Vila Rica
32778675 Borges / MG",Piauí,Brasil
2,Leonardo da Cunha,517.864.923-00,23,27/02/2002,"Condomínio Mariah Nogueira, 62
Solar Do Barreiro
86183-564 Pinto / RJ",Pará,Brasil
3,Marcelo Alves,432.081.567-07,31,10/10/1993,"Ladeira Beatriz Macedo, 74
Flamengo
88082-794 Barros / PB",Tocantins,Brasil
4,João Felipe Nascimento,031.698.524-42,58,21/02/1967,"Passarela Mathias Cavalcante, 83
Lagoa
98980-695 Aragão das Pedras / RN",Rondônia,Brasil
5,Benjamin Vargas,643.827.091-13,55,20/04/1970,"Aeroporto Felipe da Conceição, 96
Santo André
31720-865 da Mota Paulista / MT",Ceará,Brasil
6,Eduarda Montenegro,398.154.726-82,49,11/11/1975,"Chácara Cavalcanti, 6
Nova Cachoeirinha
99995325 da Mata / DF",Paraná,Brasil
7,Lunna Ribeiro,906.548.173-75,19,26/04/2006,"Área de Garcia, 88
Vila Formosa
79842189 Guerra de Duarte / SE",São Paulo,Brasil
8,Stephany Garcia,785.129.346-46,49,08/01/1976,"Travessa de Vieira, 19
Barão Homem De Melo 1ª Seção
48686-788 Nunes / PB",Paraíba,Brasil
9,Dra. Ana Sophia Souza,748.205.396-47,20,15/08/2005,"Rodovia de Rocha
Nossa Senhora Da Aparecida
86273-348 Pacheco de Jesus / BA",Goiás,Brasil
